GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mon-projet,com.library.model,Book,46,53,0,0,20,22,6,11,6,11
mon-projet,com.library.model,Student,36,15,0,0,17,6,8,2,8,2
mon-projet,com.library.model,Borrow,53,21,0,0,20,8,10,2,10,2
mon-projet,com.library.dao,StudentDAO,191,5,10,0,60,1,11,1,6,1
mon-projet,com.library.dao,BorrowDAO,129,0,4,0,38,0,6,0,4,0
mon-projet,com.library.dao,BookDAO,247,0,6,0,76,0,9,0,6,0
mon-projet,com.library,Main,224,0,14,0,68,0,12,0,2,0
mon-projet,com.library.util,DbConnection,18,0,0,0,5,0,2,0,2,0
mon-projet,com.library.service,BorrowService,12,20,0,0,5,8,1,3,1,3
mon-projet,com.library.service,BookService,51,0,2,0,16,0,8,0,7,0
mon-projet,com.library.service,StudentService,36,25,2,0,9,10,4,5,3,5
